"code","category_text"
"1D0F03","ANIMALRY/CLOTHING - ACCESSORIES/CAP - BEANIE - HAT - EAR PROTECTOR - SNOOD"
"1D0F0I","ANIMALRY/CLOTHING - ACCESSORIES/CLOTHING KIT - ACCESSORIES"
"1D0F0A","ANIMALRY/CLOTHING - ACCESSORIES/COAT - JACKET"
"1D0F07","ANIMALRY/CLOTHING - ACCESSORIES/CULOTTE"
"1D0F08","ANIMALRY/CLOTHING - ACCESSORIES/DISGUISE - WIG"
"1D0F0F","ANIMALRY/CLOTHING - ACCESSORIES/DRESS - SKIRT"
"1D0F09","ANIMALRY/CLOTHING - ACCESSORIES/GLASSES"
"1D0F0B","ANIMALRY/CLOTHING - ACCESSORIES/KNOTS - CLIPS - ELASTICS"
"1D0F0D","ANIMALRY/CLOTHING - ACCESSORIES/LEG PROTECTION - GLOVES - SHOES - SOCKS"
"1D0F06","ANIMALRY/CLOTHING - ACCESSORIES/LINER COVERS - SHOULDER COVERS"
"1D0F0C","ANIMALRY/CLOTHING - ACCESSORIES/PANTS - PYJAMAS"
"1D0F0G","ANIMALRY/CLOTHING - ACCESSORIES/PET BAG"
"1D0F0E","ANIMALRY/CLOTHING - ACCESSORIES/PULL - GILET"
"1D0F04","ANIMALRY/CLOTHING - ACCESSORIES/SHIRTS"
"1D0F05","ANIMALRY/CLOTHING - ACCESSORIES/SUIT - ENSEMBLE"
"1D0F0H","ANIMALRY/CLOTHING - ACCESSORIES/T-SHIRT - BODY - TOP"
"1D0601","ANIMALRY/EDUCATION - ACTIVITY/ANTI-BARK COLLAR - ANTI-BARK DEVICE"
"1D0602","ANIMALRY/EDUCATION - ACTIVITY/ANTI-FUGUE COLLAR - ANTI-FUGUE FENCE - ANTI-FUGUE PACK"
"1D060I","ANIMALRY/EDUCATION - ACTIVITY/ANTI-MIAU COLLAR - ANTI-MIAU DIFFUSER"
"1D060A","ANIMALRY/EDUCATION - ACTIVITY/ATTACHMENT POST"
"1D0608","ANIMALRY/EDUCATION - ACTIVITY/BELL"
"1D0604","ANIMALRY/EDUCATION - ACTIVITY/CHAPERON"
"1D0606","ANIMALRY/EDUCATION - ACTIVITY/CLICKER - WHISTLE - DISC - BEEPER"
"1D060E","ANIMALRY/EDUCATION - ACTIVITY/CORRECTION SPRAY"
"1D0603","ANIMALRY/EDUCATION - ACTIVITY/DRESSAGE WAND - DRESSAGE COLLAR"
"1D060B","ANIMALRY/EDUCATION - ACTIVITY/DUMMY PREY - DECOY"
"1D0607","ANIMALRY/EDUCATION - ACTIVITY/FAUCONNIERE"
"1D0605","ANIMALRY/EDUCATION - ACTIVITY/HUNTING - TRACKING - TRACING"
"1D060H","ANIMALRY/EDUCATION - ACTIVITY/KIT EDUCATION ACTIVITE"
"1D060G","ANIMALRY/EDUCATION - ACTIVITY/PET SCALE"
"1D060F","ANIMALRY/EDUCATION - ACTIVITY/PRESENTATION TENT"
"1D060D","ANIMALRY/EDUCATION - ACTIVITY/REPELLENT - ATTRACTIVE"
"1D060C","ANIMALRY/EDUCATION - ACTIVITY/TRAINER PROTECTION"
"1D0609","ANIMALRY/EDUCATION - ACTIVITY/TRAINING EQUIPMENT - AGILITY EQUIPMENT"
"1D060J","ANIMALRY/EDUCATION - ACTIVITY/WHIP - DRESSAGE WHIP"
"1D0A02","ANIMALRY/GROOMING EQUIPMENT/BRUSH - BRUSHING GLOVE - CHARD"
"1D0A09","ANIMALRY/GROOMING EQUIPMENT/COMB - SCRAPER"
"1D0A0C","ANIMALRY/GROOMING EQUIPMENT/DRYER - PULVERIZER"
"1D0A06","ANIMALRY/GROOMING EQUIPMENT/ETRILLE"
"1D0A08","ANIMALRY/GROOMING EQUIPMENT/FILE - RAPE - BRUSH"
"1D0A05","ANIMALRY/GROOMING EQUIPMENT/FOOT PICK - SCRAPER - RENETTE"
"1D0A0B","ANIMALRY/GROOMING EQUIPMENT/GROOMING BAG - GROOMING NET"
"1D0A01","ANIMALRY/GROOMING EQUIPMENT/GROOMING BATHTUB"
"1D0A07","ANIMALRY/GROOMING EQUIPMENT/GROOMING EQUIPMENT KIT - GROOMING"
"1D0A0A","ANIMALRY/GROOMING EQUIPMENT/GROOMING PRODUCT STORAGE - GROOMING EQUIPMENT STORAGE"
"1D0A0E","ANIMALRY/GROOMING EQUIPMENT/GROOMING TABLE"
"1D020A","ANIMALRY/POWER SUPPLY/SEEDS"
"1D0A04","ANIMALRY/GROOMING EQUIPMENT/NAIL CLIPPERS - CLAWS"
"1D0A0F","ANIMALRY/GROOMING EQUIPMENT/PET CLIPPERS"
"1D0A03","ANIMALRY/GROOMING EQUIPMENT/SCISSORS - KNOT CUTTERS"
"1D0A0D","ANIMALRY/GROOMING EQUIPMENT/TOWEL - BATHROBE"
"1D0503","ANIMALRY/HOME DECORATION/AQUARIUM PLANT - VIVARIUM - TERRARIUM - PLANT DECORATION - SUBSTRATE - ROOT - WOOD"
"1D0501","ANIMALRY/HOME DECORATION/DÉCORATION ARTIFICIELLE - FOND DE DÉCOR - FIGURINE AQUARIUM"
"1D0504","ANIMALRY/HOME DECORATION/HOME DECORATION KIT"
"1D0502","ANIMALRY/HOME DECORATION/PEARL - GLASS BEAD - GRAVEL - ROCK - STONE FOR AQUARIUM - TERRARIUM - VIVARIUM"
"1D080D","ANIMALRY/HYGIENE LITTER DEJECTIONS/BED BAG"
"1D0807","ANIMALRY/HYGIENE LITTER DEJECTIONS/CLEAN BAG - POOP SCOOP - DEJECTION - EXCREMENTS"
"1D0802","ANIMALRY/HYGIENE LITTER DEJECTIONS/DEODORIZER - LITTER CLEANER"
"1D080C","ANIMALRY/HYGIENE LITTER DEJECTIONS/KIT HYGIENE LITTER DEJECTIONS"
"1D0801","ANIMALRY/HYGIENE LITTER DEJECTIONS/LITTER BIN"
"1D0806","ANIMALRY/HYGIENE LITTER DEJECTIONS/LITTER GARBAGE CAN"
"1D0805","ANIMALRY/HYGIENE LITTER DEJECTIONS/LITTER SHOVEL - LITTER FORK"
"1D0809","ANIMALRY/HYGIENE LITTER DEJECTIONS/MAT DE PROPRETE - LEARNING TO CLEAN - ALESE"
"1D0804","ANIMALRY/HYGIENE LITTER DEJECTIONS/MINERAL BEDDING - SILICA BEDDING - CLAY BEDDING"
"1D080A","ANIMALRY/HYGIENE LITTER DEJECTIONS/OUTHOUSE - OUTHOUSE REFILL"
"1D080B","ANIMALRY/HYGIENE LITTER DEJECTIONS/PLANT LITTER - LITTER STRAW - HEMP LITTER - LITTER SHAVINGS - FLAKED LITTER - CORN LITTER"
"1D0808","ANIMALRY/HYGIENE LITTER DEJECTIONS/SUR-LITIERE - CAGE BOTTOM"
"1D0803","ANIMALRY/HYGIENE LITTER DEJECTIONS/TOILET HOUSE - LITTER BOX - CHARCOAL FILTER - CARPET TOILET HOUSE - LITTER CARPET"
"1D0701","ANIMALRY/LIVING - SLEEPING/AQUARIUM"
"1D070J","ANIMALRY/LIVING - SLEEPING/AVIARY - BIRDCAGE"
"1D0706","ANIMALRY/LIVING - SLEEPING/BASKET - BASKET - CUSHION - HAMMOCK - BED"
"1D0707","ANIMALRY/LIVING - SLEEPING/BLANKET - PLAID"
"1D0703","ANIMALRY/LIVING - SLEEPING/BOX"
"1D0704","ANIMALRY/LIVING - SLEEPING/CAGE"
"1D070K","ANIMALRY/LIVING - SLEEPING/CAGE ACCESSORIES - SMALL ANIMAL SHELTER"
"1D070D","ANIMALRY/LIVING - SLEEPING/CAGE COVER - PERCH COVER"
"1D070F","ANIMALRY/LIVING - SLEEPING/CAGE FOOT"
"1D0705","ANIMALRY/LIVING - SLEEPING/CLAPIER"
"1D070L","ANIMALRY/LIVING - SLEEPING/KIT HABITAT - SLEEPING"
"1D0709","ANIMALRY/LIVING - SLEEPING/NICHE"
"1D070M","ANIMALRY/LIVING - SLEEPING/NICHE INSULATION"
"1D070A","ANIMALRY/LIVING - SLEEPING/NICHOIR - NID"
"1D0708","ANIMALRY/LIVING - SLEEPING/PADDOCK - KENNEL"
"1D070B","ANIMALRY/LIVING - SLEEPING/PARK"
"1D070C","ANIMALRY/LIVING - SLEEPING/PERCHOIR"
"1D0702","ANIMALRY/LIVING - SLEEPING/PET POND"
"1D070G","ANIMALRY/LIVING - SLEEPING/POULAILLER"
"1D070E","ANIMALRY/LIVING - SLEEPING/RUCHE"
"1D070H","ANIMALRY/LIVING - SLEEPING/UNDER FURNITURE - AQUARIUM STAND - TERRARIUM - VIVARIUM"
"1D070I","ANIMALRY/LIVING - SLEEPING/VIVARIUM - TERRARIUM"
"1D0B02","ANIMALRY/MATERNITY - BREEDING/EGG FACTICE"
"1D0B01","ANIMALRY/MATERNITY - BREEDING/INCUBATOR"
"1D0B04","ANIMALRY/MATERNITY - BREEDING/KIT MATERNAGE - ELEVAGE"
"1D0B03","ANIMALRY/MATERNITY - BREEDING/NESTING BOX - BREEDING TANK"
"1D0B05","ANIMALRY/MATERNITY - BREEDING/PLUMEUSE"
"1D0101","ANIMALRY/MEAL ACCESSORIES/ABREUVOIR"
"1D0102","ANIMALRY/MEAL ACCESSORIES/AUGE"
"1D0103","ANIMALRY/MEAL ACCESSORIES/BIBERON"
"1D0107","ANIMALRY/MEAL ACCESSORIES/BOWLS - BOWLS - BOWL ACCESSORIES - BOWL ACCESSORIES"
"1D0105","ANIMALRY/MEAL ACCESSORIES/EGRAINER - CEREAL MILL"
"1D0106","ANIMALRY/MEAL ACCESSORIES/FEED DISPENSER"
"1D0104","ANIMALRY/MEAL ACCESSORIES/FEEDER - HOPPER"
"1D0108","ANIMALRY/MEAL ACCESSORIES/FEEDING TONGS - FEEDING SHOVEL - FEEDING SPOON"
"1D010C","ANIMALRY/MEAL ACCESSORIES/FOOD TRANSPORT - STORAGE BOX - TREAT POUCH"
"1D010A","ANIMALRY/MEAL ACCESSORIES/HAY BAG - HAY NET - FORAGE BUCKET"
"1D010B","ANIMALRY/MEAL ACCESSORIES/MEAL ACCESSORY KIT"
"1D0109","ANIMALRY/MEAL ACCESSORIES/RATELIER"
"1D010D","ANIMALRY/MEAL ACCESSORIES/WATER FOUNTAIN"
"1D0207","ANIMALRY/POWER SUPPLY/EXTRUDED - GRANULATED"
"1D0204","ANIMALRY/POWER SUPPLY/FEEDING BOX - FEEDING PASTE - WET FOOD - SOFT FOOD"
"1D0208","ANIMALRY/POWER SUPPLY/FLAKES - MASH - MUESLI"
"1D0203","ANIMALRY/POWER SUPPLY/FOOD FILM - COMPRESSED FOOD"
"1D0201","ANIMALRY/POWER SUPPLY/FRIANDISE"
"1D0205","ANIMALRY/POWER SUPPLY/GREASE BALL"
"1D0209","ANIMALRY/POWER SUPPLY/HAY - FODDER"
"1D020B","ANIMALRY/POWER SUPPLY/HERBE A MANGER - CATNIP"
"1D020C","ANIMALRY/POWER SUPPLY/INFANT FORMULA MILK - INFANT FORMULA DRINK"
"1D0206","ANIMALRY/POWER SUPPLY/KIBBLE - DRY FOOD"
"1D020D","ANIMALRY/POWER SUPPLY/KIT ALIMENTATION ANIMAL"
"1D020E","ANIMALRY/POWER SUPPLY/MEDICAL AND SPECIFIC FOOD"
"1D0202","ANIMALRY/POWER SUPPLY/MINERAL FOOD - SHELL - CHEWING SALT - GNAWING STONE"
"1D0D04","ANIMALRY/SAFETY - PROTECTION/GUARD PLATE - CAR SIGNAGE"
"1D0D03","ANIMALRY/SAFETY - PROTECTION/IDENTIFICATION MEDAL - IDENTIFICATION PENDANT - IDENTIFICATION RING"
"1D0D07","ANIMALRY/SAFETY - PROTECTION/LIFEJACKET - SAFETY VEST"
"1D0D02","ANIMALRY/SAFETY - PROTECTION/PROTECTION NET - PROTECTION GRID"
"1D0D08","ANIMALRY/SAFETY - PROTECTION/PROTECTIVE HELMET"
"1D0D05","ANIMALRY/SAFETY - PROTECTION/REFLECTOR - LAMP FOR COLLAR"
"1D0D06","ANIMALRY/SAFETY - PROTECTION/SAFETY - PROTECTION KIT"
"1D0D01","ANIMALRY/SAFETY - PROTECTION/STAIRCASE SAFETY GATE - DOOR SAFETY GATE"
"1D0G02","ANIMALRY/SEPULTURE/CERCUEIL"
"1D0G06","ANIMALRY/SEPULTURE/KEEPSAKE JEWELRY"
"1D0G04","ANIMALRY/SEPULTURE/MONUMENT - GRAVE"
"1D0G03","ANIMALRY/SEPULTURE/PET MEMORIAL PLAQUE"
"1D0G01","ANIMALRY/SEPULTURE/PET URN"
"1D0G05","ANIMALRY/SEPULTURE/SOUVENIR BOX"
"1D0307","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/AIR FILTER - WATER FILTER"
"1D0302","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/AIR PUMP - AIR DIFFUSER"
"1D0303","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/ANIMAL SPRAYER"
"1D030B","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/AQUARIUM WATER PUMP"
"1D030A","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/BRIDLE HOLDER - SADDLE SUPPORT"
"1D0301","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/CHATIERE - CAT DOOR - CAT FLAP"
"1D0304","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/HEATING"
"1D0305","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/LIGHTING"
"1D0306","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/MAINTENANCE - TREATMENT"
"1D0309","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/TECHNICAL HOME IMPROVEMENT KIT"
"1D0308","ANIMALRY/TECHNICAL HOME IMPROVEMENTS/THERMOMETER - HYDROMETER"
"1D0906","ANIMALRY/TOY/ANIMAL TOYS"
"1D0904","ANIMALRY/TOY/BALANCOIRE"
"1D090B","ANIMALRY/TOY/BALL - FRISBEE"
"1D0908","ANIMALRY/TOY/BRIDGE - STAIRS"
"1D090C","ANIMALRY/TOY/CANDY TOY"
"1D0903","ANIMALRY/TOY/CAT TREE"
"1D090A","ANIMALRY/TOY/KIT JOUET - TOY SET"
"1D0905","ANIMALRY/TOY/PET PLAY ROPE"
"1D0902","ANIMALRY/TOY/PLAY AREA - PLAY MAT - PLAY TUNNEL"
"1D0909","ANIMALRY/TOY/RODENT EXERCISE WHEEL - RODENT EXERCISE BALL"
"1D0901","ANIMALRY/TOY/SCRATCHING POST - TOWER - TRUNK - TOWER - SCRATCHING POST"
"1D0907","ANIMALRY/TOY/STUFFED ANIMAL"
"1D0E06","ANIMALRY/TRANSPORT - TRAVEL - WALKING/CONVEYOR BELT"
"1D0E01","ANIMALRY/TRANSPORT - TRAVEL - WALKING/HANDLING ACCESSORY - GLOVE - HOOK - PLIERS - LANDING NET"
"1D0E05","ANIMALRY/TRANSPORT - TRAVEL - WALKING/PET STROLLER"
"1D0E03","ANIMALRY/TRANSPORT - TRAVEL - WALKING/SAFETY BELT"
"1D0E04","ANIMALRY/TRANSPORT - TRAVEL - WALKING/TRANSPORT BASKET - TRANSPORT BAG"
"1D0E02","ANIMALRY/TRANSPORT - TRAVEL - WALKING/TRANSPORT CASE - TRANSPORT CAGE"
"1D0E07","ANIMALRY/TRANSPORT - TRAVEL - WALKING/TRANSPORT KIT - MOVING - WALKING"
"0S0705","AUTO - MOTO/NETYAGE - LIQUIDES ENTRETIEN/CARTOUCHE DE GRAISSE"
"0S070V","AUTO - MOTO/NETYAGE - LIQUIDES ENTRETIEN/COFFRET NETYAGE"
"0S0202","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/CAR COOLER - MOTORCYCLE COOLER - BOAT COOLER"
"0S0209","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/FIXING KIT"
"0S0207","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/PANNIER - CAVALIERE - MOTORCYCLE BACKPACK"
"0S0203","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/RANGEMENT DE SOUTE - CARGO STRAP - HOOKS"
"0S0204","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/SEAT ORGANIZER - STORAGE POCKET"
"0S0201","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/TANK MAT - TANK BAG"
"0S0208","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/TOP CASE"
"0S0206","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/TRANSPORT BAG"
"0S0205","AUTO - MOTORBIKE/AUTO-MOTO LUGGAGE/TRUNK BAG - TRUNK NET - TRUNK ORGANIZER - CAR SAFE"
"0S070O","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/ANTI-FOULING PRODUCT"
"0S0703","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/ANTI-PUNCTURE SPRAY"
"0S070A","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/AUTO GLOVES"
"0S070N","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/AUTO PAINT"
"0S0702","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/BALM - BEAUTIFIER - POLISH - WAX - POLISHER"
"0S070Y","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/BRAKE CLEANER"
"0S070F","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/BRAKE FLUID"
"0S0704","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/BRUSH - SQUEEGEE"
"0S070T","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/CAR VACUUM CLEANER"
"0S070X","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/CLEANING PASTE - CLEANING SOLVENT - REPAIR PASTE - REPAIR SOLVENT"
"0S070I","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/COMPRESSOR OIL"
"0S070G","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/COOLANT"
"0S070U","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/DEGREASER - LUBRICANT"
"0S0708","AUTO - MOTORBIKE/CLEANING - LIQUIDS MAINTENANCE/ELECTROLYTE - BATTERY ACID"
